;qid;Len;Den;P1;P2;P3;P4;P5
3301;;401912_-;TSS;401912;-;;Q4;LB_0.4
3302;;401912_-;TSS;401912;-;;Q4;LB_2.0
3303;;402455_+;TSS;402455;+;;Q4;LB_2.0
3304;;402459_+;TSS;402459;+;;Q4;LB_2.0
3305;;402721_-;TSS;402721;-;;Q4;LB_2.0
3306;;402738_-;TSS;402738;-;;Q4;M63_0.4
3307;;403596_-;TSS;403596;-;;Q4;M63_0.4
3308;;403596_-;TSS;403596;-;;Q4;LB_0.4
3309;;403793_-;TSS;403793;-;;Q4;M63_0.4
3310;;403793_-;TSS;403793;-;;Q4;LB_0.4
3311;;404921_-;TSS;404921;-;;Q4;M63_0.4
3312;;404921_-;TSS;404921;-;;Q4;M63_0.4
3313;;404921_-;TSS;404921;-;;Q4;LB_0.4
3314;;404921_-;TSS;404921;-;;Q4;LB_0.4
3315;;404921_-;TSS;404921;-;;Q4;LB_2.0
3316;;404921_-;TSS;404921;-;;Q4;LB_2.0
3317;;404966_+;TSS;404966;+;;Q4;M63_0.4
3318;;404966_+;TSS;404966;+;;Q4;M63_0.4
3319;;404966_+;TSS;404966;+;;Q4;LB_0.4
3320;;404966_+;TSS;404966;+;;Q4;LB_0.4
3321;;404966_+;TSS;404966;+;;Q4;LB_2.0
3322;;404966_+;TSS;404966;+;;Q4;LB_2.0
3323;;405171_+;TSS;405171;+;;Q4;LB_2.0
3324;;405500_+;TSS;405500;+;;Q4;M63_0.4
3325;;405502_+;TSS;405502;+;;Q4;LB_0.4
3326;;405502_+;TSS;405502;+;;Q4;LB_2.0
3327;;405865_-;TSS;405865;-;;Q4;M63_0.4
3328;;405865_-;TSS;405865;-;;Q4;LB_0.4
3329;;405865_-;TSS;405865;-;;Q4;LB_2.0
3330;;405914_+;TSS;405914;+;;Q4;M63_0.4
3331;;405914_+;TSS;405914;+;;Q4;M63_0.4
3332;;405914_+;TSS;405914;+;;Q4;LB_0.4
3333;;405914_+;TSS;405914;+;;Q4;LB_0.4
3334;;405914_+;TSS;405914;+;;Q4;LB_2.0
3335;;405914_+;TSS;405914;+;;Q4;LB_2.0
3336;;406296_-;TSS;406296;-;;Q4;M63_0.4
3337;;406296_-;TSS;406296;-;;Q4;LB_0.4
3338;;406296_-;TSS;406296;-;;Q4;LB_2.0
3339;;406503_+;TSS;406503;+;;Q4;M63_0.4
3340;;406503_+;TSS;406503;+;;Q4;LB_0.4
3341;;406503_+;TSS;406503;+;;Q4;LB_2.0
3342;;406743_-;TSS;406743;-;;Q4;M63_0.4
3343;;406743_-;TSS;406743;-;;Q4;LB_0.4
3344;;406743_-;TSS;406743;-;;Q4;LB_2.0
3345;;406923_+;TSS;406923;+;;Q4;M63_0.4
3346;;406923_+;TSS;406923;+;;Q4;LB_2.0
3347;;406972_+;TSS;406972;+;;Q4;M63_0.4
3348;;406972_+;TSS;406972;+;;Q4;LB_0.4
3349;;406972_+;TSS;406972;+;;Q4;LB_2.0
3350;;407697_+;TSS;407697;+;;Q4;M63_0.4
3351;;407740_-;TSS;407740;-;;Q4;M63_0.4
3352;;407740_-;TSS;407740;-;;Q4;M63_0.4
3353;;407740_-;TSS;407740;-;;Q4;LB_2.0
3354;;407740_-;TSS;407740;-;;Q4;LB_2.0
3355;;407755_+;TSS;407755;+;;Q4;M63_0.4
3356;;407755_+;TSS;407755;+;;Q4;LB_2.0
3357;;407796_+;TSS;407796;+;;Q4;LB_0.4
3358;;407798_+;TSS;407798;+;;Q4;M63_0.4
3359;;407798_+;TSS;407798;+;;Q4;LB_2.0
3360;;408222_+;TSS;408222;+;;Q4;LB_2.0
3361;;408223_-;TSS;408223;-;;Q4;M63_0.4
3362;;408223_-;TSS;408223;-;;Q4;LB_0.4
3363;;408223_-;TSS;408223;-;;Q4;LB_2.0
3364;;408842_+;TSS;408842;+;;Q4;M63_0.4
3365;;408842_+;TSS;408842;+;;Q4;LB_2.0
3366;;409274_-;TSS;409274;-;;Q4;M63_0.4
3367;;409274_-;TSS;409274;-;;Q4;M63_0.4
3368;;409274_-;TSS;409274;-;;Q4;LB_0.4
3369;;409274_-;TSS;409274;-;;Q4;LB_0.4
3370;;409274_-;TSS;409274;-;;Q4;LB_2.0
3371;;409274_-;TSS;409274;-;;Q4;LB_2.0
3372;;409279_+;TSS;409279;+;;Q4;LB_2.0
3373;;409279_+;TSS;409279;+;;Q4;LB_2.0
3374;;409344_+;TSS;409344;+;;Q4;M63_0.4
3375;;409344_+;TSS;409344;+;;Q4;LB_2.0
3376;;410452_+;TSS;410452;+;;Q4;M63_0.4
3377;;410452_+;TSS;410452;+;;Q4;LB_0.4
3378;;410452_+;TSS;410452;+;;Q4;LB_2.0
3379;;410506_-;TSS;410506;-;;Q4;M63_0.4
3380;;410506_-;TSS;410506;-;;Q4;LB_0.4
3381;;410506_-;TSS;410506;-;;Q4;LB_2.0
3382;;410634_-;TSS;410634;-;;Q4;M63_0.4
3383;;410634_-;TSS;410634;-;;Q4;LB_2.0
3384;;410659_-;TSS;410659;-;;Q4;LB_0.4
3385;;410659_-;TSS;410659;-;;Q4;LB_2.0
3386;;410977_-;TSS;410977;-;;Q4;M63_0.4
3387;;410977_-;TSS;410977;-;;Q4;LB_2.0
3388;;411196_-;TSS;411196;-;;Q4;LB_0.4
3389;;411196_-;TSS;411196;-;;Q4;LB_2.0
3390;;411559_-;TSS;411559;-;;Q4;M63_0.4
3391;;411631_-;TSS;411631;-;;Q4;M63_0.4
3392;;411631_-;TSS;411631;-;;Q4;LB_0.4
3393;;411631_-;TSS;411631;-;;Q4;LB_2.0
3394;;411755_-;TSS;411755;-;;Q4;M63_0.4
3395;;411755_-;TSS;411755;-;;Q4;LB_0.4
3396;;411755_-;TSS;411755;-;;Q4;LB_2.0
3397;;412049_-;TSS;412049;-;;Q4;LB_2.0
3398;;412577_-;TSS;412577;-;;Q4;M63_0.4
3399;;412577_-;TSS;412577;-;;Q4;LB_0.4
3400;;412577_-;TSS;412577;-;;Q4;LB_2.0
3401;;413091_+;TSS;413091;+;;Q4;M63_0.4
3402;;413091_+;TSS;413091;+;;Q4;LB_0.4
3403;;413091_+;TSS;413091;+;;Q4;LB_2.0
3404;;414228_-;TSS;414228;-;;Q4;LB_2.0
3405;;415427_+;TSS;415427;+;;Q4;M63_0.4
3406;;415427_+;TSS;415427;+;;Q4;LB_0.4
3407;;415427_+;TSS;415427;+;;Q4;LB_2.0
3408;;415586_+;TSS;415586;+;;Q4;M63_0.4
3409;;415586_+;TSS;415586;+;;Q4;LB_0.4
3410;;415586_+;TSS;415586;+;;Q4;LB_2.0
3411;;415757_-;TSS;415757;-;;Q4;LB_0.4
3412;;416200_-;TSS;416200;-;;Q4;M63_0.4
3413;;416200_-;TSS;416200;-;;Q4;LB_0.4
3414;;416200_-;TSS;416200;-;;Q4;LB_2.0
3415;;416272_+;TSS;416272;+;;Q4;M63_0.4
3416;;416272_+;TSS;416272;+;;Q4;M63_0.4
3417;;416272_+;TSS;416272;+;;Q4;LB_2.0
3418;;416272_+;TSS;416272;+;;Q4;LB_2.0
3419;;416325_+;TSS;416325;+;;Q4;M63_0.4
3420;;416325_+;TSS;416325;+;;Q4;LB_0.4
3421;;416325_+;TSS;416325;+;;Q4;LB_2.0
3422;;416683_+;TSS;416683;+;;Q4;LB_0.4
3423;;417099_-;TSS;417099;-;;Q4;M63_0.4
3424;;417099_-;TSS;417099;-;;Q4;M63_0.4
3425;;417099_-;TSS;417099;-;;Q4;LB_2.0
3426;;417099_-;TSS;417099;-;;Q4;LB_2.0
3427;;417538_-;TSS;417538;-;;Q4;M63_0.4
3428;;417538_-;TSS;417538;-;;Q4;LB_0.4
3429;;417538_-;TSS;417538;-;;Q4;LB_2.0
3430;;417550_+;TSS;417550;+;;Q4;LB_2.0
3431;;417557_-;TSS;417557;-;;Q4;M63_0.4
3432;;417557_-;TSS;417557;-;;Q4;LB_2.0
3433;;418328_-;TSS;418328;-;;Q4;M63_0.4
3434;;418328_-;TSS;418328;-;;Q4;LB_2.0
3435;;418643_+;TSS;418643;+;;Q4;M63_0.4
3436;;418643_+;TSS;418643;+;;Q4;LB_0.4
3437;;418643_+;TSS;418643;+;;Q4;LB_2.0
3438;;418738_+;TSS;418738;+;;Q4;LB_2.0
3439;;418819_+;TSS;418819;+;;Q4;M63_0.4
3440;;418819_+;TSS;418819;+;;Q4;LB_0.4
3441;;418901_+;TSS;418901;+;;Q4;M63_0.4
3442;;418901_+;TSS;418901;+;;Q4;LB_0.4
3443;;418901_+;TSS;418901;+;;Q4;LB_2.0
3444;;419445_+;TSS;419445;+;;Q4;M63_0.4
3445;;419445_+;TSS;419445;+;;Q4;LB_2.0
3446;;419920_+;TSS;419920;+;;Q4;M63_0.4
3447;;419920_+;TSS;419920;+;;Q4;M63_0.4
3448;;419920_+;TSS;419920;+;;Q4;LB_0.4
3449;;419920_+;TSS;419920;+;;Q4;LB_0.4
3450;;419920_+;TSS;419920;+;;Q4;LB_2.0
3451;;419920_+;TSS;419920;+;;Q4;LB_2.0
3452;;419972_+;TSS;419972;+;;Q4;M63_0.4
3453;;419972_+;TSS;419972;+;;Q4;M63_0.4
3454;;419972_+;TSS;419972;+;;Q4;LB_0.4
3455;;419972_+;TSS;419972;+;;Q4;LB_0.4
3456;;419972_+;TSS;419972;+;;Q4;LB_2.0
3457;;419972_+;TSS;419972;+;;Q4;LB_2.0
3458;;420347_-;TSS;420347;-;;Q4;M63_0.4
3459;;420347_-;TSS;420347;-;;Q4;LB_0.4
3460;;420347_-;TSS;420347;-;;Q4;LB_2.0
3461;;420980_+;TSS;420980;+;;Q4;M63_0.4
3462;;420980_+;TSS;420980;+;;Q4;LB_2.0
3463;;421220_+;TSS;421220;+;;Q4;M63_0.4
3464;;421220_+;TSS;421220;+;;Q4;LB_0.4
3465;;421220_+;TSS;421220;+;;Q4;LB_2.0
3466;;421690_-;TSS;421690;-;;Q4;LB_2.0
3467;;421735_-;TSS;421735;-;;Q4;LB_0.4
3468;;421735_-;TSS;421735;-;;Q4;LB_2.0
3469;;421970_-;TSS;421970;-;;Q4;M63_0.4
3470;;421970_-;TSS;421970;-;;Q4;LB_0.4
3471;;421970_-;TSS;421970;-;;Q4;LB_2.0
3472;;422074_-;TSS;422074;-;;Q4;LB_2.0
3473;;422128_+;TSS;422128;+;;Q4;M63_0.4
3474;;422366_-;TSS;422366;-;;Q4;M63_0.4
3475;;422366_-;TSS;422366;-;;Q4;LB_0.4
3476;;422366_-;TSS;422366;-;;Q4;LB_2.0
3477;;422537_+;TSS;422537;+;;Q4;M63_0.4
3478;;422537_+;TSS;422537;+;;Q4;LB_0.4
3479;;422537_+;TSS;422537;+;;Q4;LB_2.0
3480;;423029_+;TSS;423029;+;;Q4;LB_2.0
3481;;423061_+;TSS;423061;+;;Q4;LB_2.0
3482;;423566_+;TSS;423566;+;;Q4;M63_0.4
3483;;423566_+;TSS;423566;+;;Q4;LB_2.0
3484;;423641_-;TSS;423641;-;;Q4;M63_0.4
3485;;423641_-;TSS;423641;-;;Q4;M63_0.4
3486;;423641_-;TSS;423641;-;;Q4;LB_0.4
3487;;423641_-;TSS;423641;-;;Q4;LB_0.4
3488;;423641_-;TSS;423641;-;;Q4;LB_2.0
3489;;423641_-;TSS;423641;-;;Q4;LB_2.0
3490;;424206_-;TSS;424206;-;;Q4;LB_2.0
3491;;424206_-;TSS;424206;-;;Q4;LB_2.0
3492;;424208_-;TSS;424208;-;;Q4;M63_0.4
3493;;424208_-;TSS;424208;-;;Q4;M63_0.4
3494;;424208_-;TSS;424208;-;;Q4;LB_0.4
3495;;424208_-;TSS;424208;-;;Q4;LB_0.4
3496;;424209_+;TSS;424209;+;;Q4;M63_0.4
3497;;424209_+;TSS;424209;+;;Q4;M63_0.4
3498;;424209_+;TSS;424209;+;;Q4;LB_0.4
3499;;424209_+;TSS;424209;+;;Q4;LB_0.4
3500;;424209_+;TSS;424209;+;;Q4;LB_2.0
3501;;424209_+;TSS;424209;+;;Q4;LB_2.0
3502;;424350_-;TSS;424350;-;;Q4;M63_0.4
3503;;424350_-;TSS;424350;-;;Q4;M63_0.4
3504;;424350_-;TSS;424350;-;;Q4;LB_0.4
3505;;424350_-;TSS;424350;-;;Q4;LB_0.4
3506;;424350_-;TSS;424350;-;;Q4;LB_2.0
3507;;424350_-;TSS;424350;-;;Q4;LB_2.0
3508;;424567_-;TSS;424567;-;;Q4;M63_0.4
3509;;424567_-;TSS;424567;-;;Q4;LB_2.0
3510;;424730_-;TSS;424730;-;;Q4;M63_0.4
3511;;424730_-;TSS;424730;-;;Q4;LB_2.0
3512;;424897_-;TSS;424897;-;;Q4;M63_0.4
3513;;424897_-;TSS;424897;-;;Q4;LB_2.0
3514;;425071_-;TSS;425071;-;;Q4;M63_0.4
3515;;425071_-;TSS;425071;-;;Q4;LB_2.0
3516;;425217_-;TSS;425217;-;;Q4;LB_2.0
3517;;425266_+;TSS;425266;+;;Q4;LB_2.0
3518;;425266_+;TSS;425266;+;;Q4;LB_2.0
3519;;425279_+;TSS;425279;+;;Q4;M63_0.4
3520;;425279_+;TSS;425279;+;;Q4;M63_0.4
3521;;425279_+;TSS;425279;+;;Q4;LB_2.0
3522;;425279_+;TSS;425279;+;;Q4;LB_2.0
3523;;425711_-;TSS;425711;-;;Q4;LB_0.4
3524;;425711_-;TSS;425711;-;;Q4;LB_2.0
3525;;425925_+;TSS;425925;+;;Q4;M63_0.4
3526;;425925_+;TSS;425925;+;;Q4;LB_2.0
3527;;426000_+;TSS;426000;+;;Q4;M63_0.4
3528;;426000_+;TSS;426000;+;;Q4;LB_0.4
3529;;426243_+;TSS;426243;+;;Q4;M63_0.4
3530;;426243_+;TSS;426243;+;;Q4;M63_0.4
3531;;426243_+;TSS;426243;+;;Q4;LB_2.0
3532;;426243_+;TSS;426243;+;;Q4;LB_2.0
3533;;426339_+;TSS;426339;+;;Q4;M63_0.4
3534;;426339_+;TSS;426339;+;;Q4;M63_0.4
3535;;426339_+;TSS;426339;+;;Q4;LB_0.4
3536;;426339_+;TSS;426339;+;;Q4;LB_0.4
3537;;426339_+;TSS;426339;+;;Q4;LB_2.0
3538;;426339_+;TSS;426339;+;;Q4;LB_2.0
3539;;426428_+;TSS;426428;+;;Q4;M63_0.4
3540;;426428_+;TSS;426428;+;;Q4;M63_0.4
3541;;426428_+;TSS;426428;+;;Q4;LB_0.4
3542;;426428_+;TSS;426428;+;;Q4;LB_0.4
3543;;426486_-;TSS;426486;-;;Q4;LB_2.0
3544;;426486_-;TSS;426486;-;;Q4;LB_2.0
3545;;426780_-;TSS;426780;-;;Q4;M63_0.4
3546;;426780_-;TSS;426780;-;;Q4;M63_0.4
3547;;426780_-;TSS;426780;-;;Q4;LB_2.0
3548;;426780_-;TSS;426780;-;;Q4;LB_2.0
3549;;427933_+;TSS;427933;+;;Q4;M63_0.4
3550;;427933_+;TSS;427933;+;;Q4;LB_0.4
3551;;427933_+;TSS;427933;+;;Q4;LB_2.0
3552;;428857_+;TSS;428857;+;;Q4;M63_0.4
3553;;428857_+;TSS;428857;+;;Q4;LB_0.4
3554;;428857_+;TSS;428857;+;;Q4;LB_2.0
3555;;429020_+;TSS;429020;+;;Q4;LB_2.0
3556;;429361_-;TSS;429361;-;;Q4;M63_0.4
3557;;429361_-;TSS;429361;-;;Q4;LB_2.0
3558;;429800_+;TSS;429800;+;;Q4;M63_0.4
3559;;429800_+;TSS;429800;+;;Q4;LB_0.4
3560;;429800_+;TSS;429800;+;;Q4;LB_2.0
3561;;429969_-;TSS;429969;-;;Q4;LB_2.0
3562;;430045_-;TSS;430045;-;;Q4;M63_0.4
3563;;430045_-;TSS;430045;-;;Q4;LB_0.4
3564;;430045_-;TSS;430045;-;;Q4;LB_2.0
3565;;430234_-;TSS;430234;-;;Q4;LB_2.0
3566;;430489_-;TSS;430489;-;;Q4;M63_0.4
3567;;430489_-;TSS;430489;-;;Q4;LB_2.0
3568;;430545_+;TSS;430545;+;;Q4;M63_0.4
3569;;430545_+;TSS;430545;+;;Q4;LB_2.0
3570;;430838_-;TSS;430838;-;;Q4;LB_2.0
3571;;431082_+;TSS;431082;+;;Q4;M63_0.4
3572;;431082_+;TSS;431082;+;;Q4;LB_0.4
3573;;431315_-;TSS;431315;-;;Q4;M63_0.4
3574;;431315_-;TSS;431315;-;;Q4;LB_0.4
3575;;431315_-;TSS;431315;-;;Q4;LB_2.0
3576;;431409_-;TSS;431409;-;;Q4;M63_0.4
3577;;431411_-;TSS;431411;-;;Q4;LB_0.4
3578;;431469_-;TSS;431469;-;;Q4;M63_0.4
3579;;431469_-;TSS;431469;-;;Q4;LB_0.4
3580;;431469_-;TSS;431469;-;;Q4;LB_2.0
3581;;431689_-;TSS;431689;-;;Q4;M63_0.4
3582;;431689_-;TSS;431689;-;;Q4;LB_0.4
3583;;432100_-;TSS;432100;-;;Q4;M63_0.4
3584;;432100_-;TSS;432100;-;;Q4;LB_0.4
3585;;432100_-;TSS;432100;-;;Q4;LB_2.0
3586;;432199_+;TSS;432199;+;;Q4;LB_2.0
3587;;432201_+;TSS;432201;+;;Q4;M63_0.4
3588;;432201_+;TSS;432201;+;;Q4;LB_0.4
3589;;432621_-;TSS;432621;-;;Q4;M63_0.4
3590;;432621_-;TSS;432621;-;;Q4;M63_0.4
3591;;432621_-;TSS;432621;-;;Q4;LB_2.0
3592;;432621_-;TSS;432621;-;;Q4;LB_2.0
3593;;432791_-;TSS;432791;-;;Q4;M63_0.4
3594;;432791_-;TSS;432791;-;;Q4;LB_0.4
3595;;433239_-;TSS;433239;-;;Q4;M63_0.4
3596;;433239_-;TSS;433239;-;;Q4;LB_0.4
3597;;433239_-;TSS;433239;-;;Q4;LB_2.0
3598;;433660_+;TSS;433660;+;;Q4;LB_2.0
3599;;433660_+;TSS;433660;+;;Q4;LB_2.0
3600;;433836_+;TSS;433836;+;;Q4;M63_0.4
3601;;433836_+;TSS;433836;+;;Q4;LB_2.0
3602;;433915_-;TSS;433915;-;;Q4;M63_0.4
3603;;433915_-;TSS;433915;-;;Q4;LB_0.4
3604;;433915_-;TSS;433915;-;;Q4;LB_2.0
3605;;435438_-;TSS;435438;-;;Q4;M63_0.4
3606;;435438_-;TSS;435438;-;;Q4;LB_0.4
3607;;435438_-;TSS;435438;-;;Q4;LB_2.0
3608;;435800_-;TSS;435800;-;;Q4;M63_0.4
3609;;435800_-;TSS;435800;-;;Q4;M63_0.4
3610;;435800_-;TSS;435800;-;;Q4;LB_0.4
3611;;435800_-;TSS;435800;-;;Q4;LB_0.4
3612;;435812_-;TSS;435812;-;;Q4;LB_2.0
3613;;435812_-;TSS;435812;-;;Q4;LB_2.0
3614;;436285_-;TSS;436285;-;;Q4;LB_2.0
3615;;437000_+;TSS;437000;+;;Q4;M63_0.4
3616;;437000_+;TSS;437000;+;;Q4;LB_0.4
3617;;437000_+;TSS;437000;+;;Q4;LB_2.0
3618;;437221_-;TSS;437221;-;;Q4;LB_2.0
3619;;437386_+;TSS;437386;+;;Q4;M63_0.4
3620;;437386_+;TSS;437386;+;;Q4;LB_0.4
3621;;437386_+;TSS;437386;+;;Q4;LB_2.0
3622;;437508_-;TSS;437508;-;;Q4;LB_2.0
3623;;437531_-;TSS;437531;-;;Q4;M63_0.4
3624;;437531_-;TSS;437531;-;;Q4;LB_0.4
3625;;437531_-;TSS;437531;-;;Q4;LB_2.0
3626;;438066_+;TSS;438066;+;;Q4;M63_0.4
3627;;438066_+;TSS;438066;+;;Q4;LB_2.0
3628;;438247_+;TSS;438247;+;;Q4;M63_0.4
3629;;438247_+;TSS;438247;+;;Q4;LB_2.0
3630;;438784_-;TSS;438784;-;;Q4;M63_0.4
3631;;438784_-;TSS;438784;-;;Q4;LB_0.4
3632;;438784_-;TSS;438784;-;;Q4;LB_2.0
3633;;438871_-;TSS;438871;-;;Q4;M63_0.4
3634;;438871_-;TSS;438871;-;;Q4;LB_0.4
3635;;438871_-;TSS;438871;-;;Q4;LB_2.0
3636;;439938_-;TSS;439938;-;;Q4;M63_0.4
3637;;439964_+;TSS;439964;+;;Q4;M63_0.4
3638;;439964_+;TSS;439964;+;;Q4;LB_0.4
3639;;439964_+;TSS;439964;+;;Q4;LB_2.0
3640;;440195_-;TSS;440195;-;;Q4;M63_0.4
3641;;440195_-;TSS;440195;-;;Q4;LB_0.4
3642;;440195_-;TSS;440195;-;;Q4;LB_2.0
3643;;440223_+;TSS;440223;+;;Q4;M63_0.4
3644;;440223_+;TSS;440223;+;;Q4;LB_0.4
3645;;440223_+;TSS;440223;+;;Q4;LB_2.0
3646;;440597_-;TSS;440597;-;;Q4;M63_0.4
3647;;440597_-;TSS;440597;-;;Q4;LB_0.4
3648;;440597_-;TSS;440597;-;;Q4;LB_2.0
3649;;440693_+;TSS;440693;+;;Q4;M63_0.4
3650;;440693_+;TSS;440693;+;;Q4;LB_0.4
3651;;440693_+;TSS;440693;+;;Q4;LB_2.0
3652;;440769_-;TSS;440769;-;;Q4;M63_0.4
3653;;440769_-;TSS;440769;-;;Q4;M63_0.4
3654;;440769_-;TSS;440769;-;;Q4;LB_0.4
3655;;440769_-;TSS;440769;-;;Q4;LB_0.4
3656;;440769_-;TSS;440769;-;;Q4;LB_2.0
3657;;440769_-;TSS;440769;-;;Q4;LB_2.0
3658;;440928_+;TSS;440928;+;;Q4;M63_0.4
3659;;440928_+;TSS;440928;+;;Q4;LB_0.4
3660;;440928_+;TSS;440928;+;;Q4;LB_2.0
3661;;441117_-;TSS;441117;-;;Q4;M63_0.4
3662;;441117_-;TSS;441117;-;;Q4;LB_0.4
3663;;441117_-;TSS;441117;-;;Q4;LB_2.0
3664;;441178_+;TSS;441178;+;;Q4;M63_0.4
3665;;441178_+;TSS;441178;+;;Q4;LB_0.4
3666;;441178_+;TSS;441178;+;;Q4;LB_2.0
3667;;441571_+;TSS;441571;+;;Q4;LB_2.0
3668;;442093_+;TSS;442093;+;;Q4;M63_0.4
3669;;442093_+;TSS;442093;+;;Q4;LB_0.4
3670;;442093_+;TSS;442093;+;;Q4;LB_2.0
3671;;442488_-;TSS;442488;-;;Q4;M63_0.4
3672;;442488_-;TSS;442488;-;;Q4;LB_0.4
3673;;443381_+;TSS;443381;+;;Q4;LB_2.0
3674;;443640_+;TSS;443640;+;;Q4;M63_0.4
3675;;443640_+;TSS;443640;+;;Q4;M63_0.4
3676;;443640_+;TSS;443640;+;;Q4;LB_0.4
3677;;443640_+;TSS;443640;+;;Q4;LB_0.4
3678;;443640_+;TSS;443640;+;;Q4;LB_2.0
3679;;443640_+;TSS;443640;+;;Q4;LB_2.0
3680;;443784_-;TSS;443784;-;;Q4;M63_0.4
3681;;443784_-;TSS;443784;-;;Q4;LB_2.0
3682;;443790_+;TSS;443790;+;;Q4;M63_0.4
3683;;443790_+;TSS;443790;+;;Q4;M63_0.4
3684;;443827_+;TSS;443827;+;;Q4;M63_0.4
3685;;443827_+;TSS;443827;+;;Q4;M63_0.4
3686;;443827_+;TSS;443827;+;;Q4;LB_0.4
3687;;443827_+;TSS;443827;+;;Q4;LB_0.4
3688;;443827_+;TSS;443827;+;;Q4;LB_2.0
3689;;443827_+;TSS;443827;+;;Q4;LB_2.0
3690;;443882_+;TSS;443882;+;;Q4;M63_0.4
3691;;443882_+;TSS;443882;+;;Q4;LB_2.0
3692;;444046_-;TSS;444046;-;;Q4;M63_0.4
3693;;444046_-;TSS;444046;-;;Q4;LB_0.4
3694;;444046_-;TSS;444046;-;;Q4;LB_2.0
3695;;444450_+;TSS;444450;+;;Q4;M63_0.4
3696;;444450_+;TSS;444450;+;;Q4;LB_0.4
3697;;444450_+;TSS;444450;+;;Q4;LB_2.0
3698;;444751_+;TSS;444751;+;;Q4;LB_2.0
3699;;445219_-;TSS;445219;-;;Q4;LB_2.0
3700;;446018_-;TSS;446018;-;;Q4;M63_0.4
3701;;446018_-;TSS;446018;-;;Q4;LB_2.0
3702;;446164_-;TSS;446164;-;;Q4;M63_0.4
3703;;446164_-;TSS;446164;-;;Q4;M63_0.4
3704;;446164_-;TSS;446164;-;;Q4;LB_0.4
3705;;446164_-;TSS;446164;-;;Q4;LB_0.4
3706;;446164_-;TSS;446164;-;;Q4;LB_2.0
3707;;446164_-;TSS;446164;-;;Q4;LB_2.0
3708;;446784_-;TSS;446784;-;;Q4;LB_0.4
3709;;446784_-;TSS;446784;-;;Q4;LB_2.0
3710;;447232_+;TSS;447232;+;;Q4;M63_0.4
3711;;447232_+;TSS;447232;+;;Q4;M63_0.4
3712;;447232_+;TSS;447232;+;;Q4;LB_0.4
3713;;447232_+;TSS;447232;+;;Q4;LB_0.4
3714;;447232_+;TSS;447232;+;;Q4;LB_2.0
3715;;447232_+;TSS;447232;+;;Q4;LB_2.0
3716;;449040_-;TSS;449040;-;;Q4;M63_0.4
3717;;449040_-;TSS;449040;-;;Q4;LB_0.4
3718;;449040_-;TSS;449040;-;;Q4;LB_2.0
3719;;449423_-;TSS;449423;-;;Q4;M63_0.4
3720;;449423_-;TSS;449423;-;;Q4;LB_0.4
3721;;449423_-;TSS;449423;-;;Q4;LB_2.0
3722;;449846_-;TSS;449846;-;;Q4;M63_0.4
3723;;449846_-;TSS;449846;-;;Q4;LB_0.4
3724;;449846_-;TSS;449846;-;;Q4;LB_2.0
3725;;449864_+;TSS;449864;+;;Q4;M63_0.4
3726;;449864_+;TSS;449864;+;;Q4;M63_0.4
3727;;449864_+;TSS;449864;+;;Q4;LB_2.0
3728;;449864_+;TSS;449864;+;;Q4;LB_2.0
3729;;450877_-;TSS;450877;-;;Q4;M63_0.4
3730;;450877_-;TSS;450877;-;;Q4;LB_0.4
3731;;450877_-;TSS;450877;-;;Q4;LB_2.0
3732;;450922_+;TSS;450922;+;;Q4;M63_0.4
3733;;450922_+;TSS;450922;+;;Q4;LB_0.4
3734;;450922_+;TSS;450922;+;;Q4;LB_2.0
3735;;451558_+;TSS;451558;+;;Q4;M63_0.4
3736;;451558_+;TSS;451558;+;;Q4;LB_0.4
3737;;452197_-;TSS;452197;-;;Q4;M63_0.4
3738;;452197_-;TSS;452197;-;;Q4;LB_0.4
3739;;452197_-;TSS;452197;-;;Q4;LB_2.0
3740;;452382_-;TSS;452382;-;;Q4;M63_0.4
3741;;452382_-;TSS;452382;-;;Q4;LB_2.0
3742;;452678_+;TSS;452678;+;;Q4;M63_0.4
3743;;452678_+;TSS;452678;+;;Q4;LB_0.4
3744;;452678_+;TSS;452678;+;;Q4;LB_2.0
3745;;453433_-;TSS;453433;-;;Q4;M63_0.4
3746;;453433_-;TSS;453433;-;;Q4;LB_0.4
3747;;453433_-;TSS;453433;-;;Q4;LB_2.0
3748;;453575_+;TSS;453575;+;;Q4;M63_0.4
3749;;453575_+;TSS;453575;+;;Q4;LB_0.4
3750;;453575_+;TSS;453575;+;;Q4;LB_2.0
3751;;453647_+;TSS;453647;+;;Q4;M63_0.4
3752;;453658_+;TSS;453658;+;;Q4;M63_0.4
3753;;453658_+;TSS;453658;+;;Q4;LB_2.0
3754;;453888_+;TSS;453888;+;;Q4;M63_0.4
3755;;453888_+;TSS;453888;+;;Q4;LB_0.4
3756;;453888_+;TSS;453888;+;;Q4;LB_2.0
3757;;453939_+;TSS;453939;+;;Q4;M63_0.4
3758;;453939_+;TSS;453939;+;;Q4;LB_2.0
3759;;454051_-;TSS;454051;-;;Q4;LB_2.0
3760;;454058_+;TSS;454058;+;;Q4;M63_0.4
3761;;454058_+;TSS;454058;+;;Q4;LB_0.4
3762;;454058_+;TSS;454058;+;;Q4;LB_2.0
3763;;454138_-;TSS;454138;-;;Q4;M63_0.4
3764;;454138_-;TSS;454138;-;;Q4;LB_0.4
3765;;454138_-;TSS;454138;-;;Q4;LB_2.0
