qid,Len,Den,P13,P14,P15,P16,P17
,482935_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""482935""","""+""",Q456,Q10
,482949_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""482949""","""+""",Q456,Q11
,483182_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""483182""","""+""",Q456,Q11
,483577_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""483577""","""+""",Q456,Q10
,484060_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""484060""","""+""",Q457,Q10
,485064_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485064""","""-""",Q457,Q10
,485083_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485083""","""+""",Q458,Q10
,485204_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485204""","""-""",Q458,Q10
,485310_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485310""","""-""",Q458,Q10
,485329_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485329""","""-""",Q458,Q10
,485566_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485566""","""-""",Q458,Q10
,485713_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""485713""","""+""",Q459,Q10
,486277_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""486277""","""+""",Q459,Q10
,486925_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""486925""","""+""",Q459,Q10
,487553_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""487553""","""+""",Q459,Q11
,488205_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""488205""","""+""",Q459,Q12
,488501_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""488501""","""+""",Q459,Q10
,488828_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""488828""","""+""",Q459,Q10
,488990_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""488990""","""+""",Q459,Q10
,489131_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""489131""","""+""",,Q10
,489257_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""489257""","""-""",,Q10
,489419_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""489419""","""-""",Q460,Q11
,489453_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""489453""","""-""",Q460,Q10
,490083_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490083""","""+""",Q461,Q10
,490112_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490112""","""-""",Q462,Q10
,490446_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490446""","""+""",Q463,Q10
,490530_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490530""","""+""",Q463,Q11
,490535_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490535""","""+""",Q463,Q10
,490663_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490663""","""-""",Q463,Q10
,490725_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""490725""","""-""",Q463,Q10
,491181_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""491181""","""-""",Q463,Q10
,491279_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""491279""","""+""",Q464,Q10
,491670_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""491670""","""-""",Q464,Q10
,492525_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""492525""","""+""",Q464,Q12
,492527_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""492527""","""+""",Q464,Q11
,492529_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""492529""","""+""",Q464,Q10
,493101_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""493101""","""+""",Q465,Q10
,493641_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""493641""","""+""",Q466,Q10
,494299_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""494299""","""-""",Q466,Q10
,494300_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""494300""","""+""",Q467,Q10
,494402_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""494402""","""-""",Q467,Q10
,495717_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""495717""","""+""",Q467,Q10
,496340_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""496340""","""-""",Q468,Q11
,496357_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""496357""","""+""",Q468,Q10
,496675_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""496675""","""+""",Q468,Q10
,496791_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""496791""","""-""",Q468,Q10
,496793_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""496793""","""-""",Q468,Q12
,497074_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""497074""","""+""",Q469,Q10
,497632_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""497632""","""-""",Q469,Q10
,497743_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""497743""","""-""",Q469,Q10
,497867_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""497867""","""+""",Q469,Q10
,498681_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""498681""","""-""",Q470,Q10
,498794_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""498794""","""+""",Q470,Q10
,499217_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""499217""","""-""",Q470,Q12
,499323_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""499323""","""+""",Q471,Q10
,499511_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""499511""","""+""",Q471,Q10
,499640_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""499640""","""+""",Q471,Q10
,499875_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""499875""","""-""",Q471,Q12
,500349_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""500349""","""-""",Q471,Q10
,500461_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""500461""","""-""",Q471,Q10
,500556_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""500556""","""+""",Q471,Q10
,501716_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""501716""","""-""",Q472,Q10
,502519_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""502519""","""-""",Q472,Q10
,503223_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""503223""","""+""",Q473,Q10
,503611_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""503611""","""-""",Q473,Q11
,503973_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""503973""","""-""",Q473,Q12
,503978_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""503978""","""-""",Q473,Q10
,503996_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""503996""","""+""",Q474,Q12
,504112_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""504112""","""+""",Q474,Q10
,504810_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""504810""","""+""",Q474,Q12
,505152_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""505152""","""+""",Q474,Q10
,506094_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506094""","""+""",Q475,Q10
,506322_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506322""","""+""",Q476,Q10
,506372_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506372""","""+""",Q476,Q10
,506424_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506424""","""+""",Q476,Q12
,506428_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506428""","""+""",Q476,Q10
,506665_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""506665""","""-""",Q477,Q10
,507321_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507321""","""-""",Q477,Q10
,507336_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507336""","""+""",Q478,Q11
,507400_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507400""","""+""",Q478,Q10
,507406_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507406""","""+""",Q478,Q10
,507601_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507601""","""+""",Q478,Q10
,507852_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""507852""","""+""",,Q10
,508210_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""508210""","""-""",Q479,Q10
,509951_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""509951""","""+""",Q479,Q10
,510585_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""510585""","""-""",Q479,Q11
,511973_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""511973""","""+""",Q480,Q10
,513102_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""513102""","""+""",Q481,Q10
,514469_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""514469""","""+""",Q482,Q10
,514926_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""514926""","""-""",Q482,Q10
,515049_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""515049""","""-""",Q482,Q10
,515116_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""515116""","""+""",Q483,Q10
,515739_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""515739""","""-""",Q483,Q10
,515810_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""515810""","""-""",Q483,Q10
,515879_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""515879""","""+""",Q484,Q10
,516545_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""516545""","""+""",Q484,Q10
,517076_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""517076""","""+""",Q485,Q10
,517382_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""517382""","""+""",Q485,Q10
,517496_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""517496""","""+""",Q485,Q10
,517530_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""517530""","""-""",Q485,Q10
,518108_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""518108""","""-""",Q486,Q12
,518388_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""518388""","""+""",Q486,Q10
,518552_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""518552""","""-""",Q486,Q10
,518613_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""518613""","""+""",Q487,Q10
,519021_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""519021""","""-""",Q487,Q10
,521458_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""521458""","""+""",Q489,Q10
,523635_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""523635""","""+""",Q490,Q10
,524522_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""524522""","""-""",Q490,Q10
,526158_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526158""","""+""",Q490,Q10
,526159_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526159""","""-""",Q490,Q10
,526178_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526178""","""+""",Q490,Q10
,526264_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526264""","""-""",Q490,Q10
,526430_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526430""","""+""",Q490,Q10
,526492_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""526492""","""+""",Q490,Q10
,527354_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""527354""","""+""",Q491,Q10
,527510_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""527510""","""-""",Q491,Q10
,527812_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""527812""","""-""",Q491,Q12
,528236_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""528236""","""-""",Q492,Q10
,528252_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""528252""","""+""",Q492,Q10
,529141_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""529141""","""-""",Q493,Q10
,529241_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""529241""","""+""",Q493,Q10
,529466_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""529466""","""+""",Q494,Q11
,529667_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""529667""","""+""",Q494,Q10
,530116_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""530116""","""-""",Q494,Q10
,530477_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""530477""","""-""",Q494,Q10
,531040_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""531040""","""+""",Q495,Q11
,531310_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""531310""","""-""",Q495,Q12
,531509_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""531509""","""-""",Q495,Q12
,531614_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""531614""","""+""",Q496,Q10
,531840_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""531840""","""+""",Q496,Q10
,532171_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""532171""","""-""",Q496,Q10
,532189_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""532189""","""+""",Q497,Q10
,532207_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""532207""","""+""",Q497,Q10
,532760_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""532760""","""+""",Q497,Q10
,532856_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""532856""","""+""",Q498,Q10
,534049_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""534049""","""+""",Q498,Q10
,534103_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""534103""","""+""",Q498,Q10
,535340_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""535340""","""-""",Q499,Q12
,535993_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""535993""","""+""",Q500,Q11
,536944_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""536944""","""-""",Q501,Q10
,537043_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""537043""","""+""",Q501,Q12
,539361_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""539361""","""+""",Q502,Q11
,539571_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""539571""","""+""",Q503,Q10
,539638_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""539638""","""-""",Q502,Q12
,540123_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""540123""","""-""",Q503,Q10
,540259_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""540259""","""+""",Q503,Q10
,540431_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""540431""","""+""",Q503,Q10
,541120_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""541120""","""+""",Q504,Q11
,541334_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""541334""","""+""",Q504,Q10
,542385_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""542385""","""+""",Q505,Q10
,542402_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""542402""","""-""",,Q12
,542562_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""542562""","""-""",Q505,Q10
,542583_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""542583""","""-""",Q505,Q12
,543358_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""543358""","""+""",Q505,Q10
,543795_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""543795""","""-""",Q506,Q10
,543805_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""543805""","""-""",Q506,Q10
,545363_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""545363""","""+""",Q507,Q10
,548980_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""548980""","""+""",Q508,Q12
,550662_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""550662""","""-""",,Q12
,551542_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""551542""","""-""",Q509,Q11
,552365_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""552365""","""-""",Q510,Q10
,553246_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553246""","""-""",Q511,Q10
,553407_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553407""","""-""",Q511,Q10
,553639_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553639""","""+""",Q513,Q10
,553713_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553713""","""-""",Q512,Q10
,553781_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553781""","""-""",Q512,Q10
,553800_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553800""","""+""",Q513,Q10
,553845_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553845""","""-""",Q512,Q10
,553943_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""553943""","""+""",Q513,Q10
,554021_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""554021""","""+""",Q513,Q12
,554687_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""554687""","""+""",Q513,Q10
,555802_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""555802""","""-""",Q514,Q12
,555994_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""555994""","""-""",Q514,Q10
,556115_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""556115""","""-""",Q515,Q10
,556125_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""556125""","""+""",Q515,Q10
,556244_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""556244""","""-""",Q515,Q10
,556247_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""556247""","""-""",Q515,Q12
,556343_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""556343""","""-""",Q515,Q11
,557004_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""557004""","""-""",Q516,Q10
,557255_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""557255""","""+""",Q517,Q12
,557753_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""557753""","""+""",Q517,Q10
,559003_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""559003""","""-""",Q518,Q10
,559352_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""559352""","""+""",Q518,Q12
,559757_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""559757""","""+""",Q518,Q10
,559961_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""559961""","""+""",Q518,Q10
,559974_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""559974""","""-""",Q518,Q12
,560245_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""560245""","""-""",Q518,Q10
,560394_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""560394""","""+""",Q518,Q10
,561078_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""561078""","""-""",Q518,Q10
,561184_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""561184""","""-""",Q518,Q10
,561222_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""561222""","""+""",Q518,Q10
,561364_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""561364""","""-""",Q518,Q10
,562077_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""562077""","""-""",Q519,Q10
,563073_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""563073""","""+""",Q520,Q12
,563597_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""563597""","""+""",Q520,Q11
,563601_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""563601""","""+""",Q520,Q10
,563921_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""563921""","""+""",Q521,Q10
,564555_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""564555""","""+""",Q522,Q10
,565163_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""565163""","""-""",Q522,Q10
,565236_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""565236""","""-""",Q522,Q10
,565315_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""565315""","""+""",Q524,Q10
,565455_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""565455""","""+""",Q524,Q10
,566190_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""566190""","""-""",Q526,Q12
,566192_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""566192""","""-""",Q526,Q10
,567089_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""567089""","""-""",Q527,Q10
,567166_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""567166""","""+""",Q528,Q10
,567487_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""567487""","""-""",Q528,Q10
,567514_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""567514""","""+""",Q529,Q10
,567653_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""567653""","""+""",Q529,Q10
,568278_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""568278""","""+""",Q530,Q11
,568494_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""568494""","""+""",Q530,Q11
,570029_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""570029""","""+""",Q531,Q10
,570527_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""570527""","""-""",Q531,Q10
,570587_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""570587""","""+""",Q532,Q10
,570642_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""570642""","""-""",Q531,Q10
,570856_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""570856""","""+""",Q532,Q10
,571159_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""571159""","""+""",Q532,Q10
,571313_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""571313""","""+""",Q533,Q10
,571426_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""571426""","""-""",Q532,Q10
,571444_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""571444""","""+""",Q533,Q12
,571488_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""571488""","""-""",Q532,Q10
,572182_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""572182""","""-""",Q534,Q12
,572979_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""572979""","""+""",Q536,Q10
,573406_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""573406""","""+""",Q536,Q10
,574967_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""574967""","""-""",Q538,Q10
,575003_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575003""","""-""",Q538,Q10
,575093_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575093""","""+""",Q539,Q10
,575189_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575189""","""-""",Q538,Q10
,575331_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575331""","""-""",Q539,Q10
,575461_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575461""","""-""",Q539,Q10
,575518_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575518""","""+""",Q539,Q10
,575698_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575698""","""+""",Q539,Q12
,575893_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""575893""","""+""",Q539,Q10
,576081_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576081""","""+""",Q539,Q10
,576093_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576093""","""-""",Q539,Q10
,576452_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576452""","""+""",Q540,Q10
,576510_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576510""","""-""",,Q10
,576581_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576581""","""-""",Q540,Q10
,576907_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""576907""","""+""",Q541,Q10
,577165_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""577165""","""-""",Q541,Q10
,577365_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""577365""","""-""",Q541,Q10
,577909_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""577909""","""-""",Q543,Q12
,578369_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""578369""","""+""",Q544,Q10
,578844_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""578844""","""-""",Q544,Q11
,578931_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""578931""","""+""",Q545,Q10
,579070_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""579070""","""+""",Q545,Q10
,579199_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""579199""","""+""",Q545,Q10
,579283_+,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""579283""","""+""",Q545,Q12
,579424_-,Transcription Start Site: Label was assembled by the the position and strand of the TSS,Q9,"""579424""","""-""",,Q10
